"ID","NAME","POSITION1","POSITION2","PLAYER_TYPE","BID_VALUE","BID_YEARS","HAS_TO","BID_START_DATE","BID_WINNER","NBA_ID"
"148","Doug McDermott","F",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"203926"
"149","Draymond Green","F",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"203110"
"150","Duane Washington Jr.","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1630613"
"151","Duncan Robinson","F",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1629130"
"152","Dwight Howard","C","F","UFA",NULL,NULL,NULL,NULL,NULL,"2730"
"153","Dwight Powell","F","C","UFA",NULL,NULL,NULL,NULL,NULL,"203939"
"154","Dylan Windler","G","F","UFA",NULL,NULL,NULL,NULL,NULL,"1629685"
"155","Dyson Daniels","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1630700"
"156","E.J. Liddell","F",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1630604"
"157","Ed Davis","C","F","UFA",NULL,NULL,NULL,NULL,NULL,"202334"
"158","Elfrid Payton","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"203901"
"159","Elijah Hughes","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1630190"
"160","Eric Bledsoe","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"202339"
"161","Eric Gordon","G",NULL,"SIGNED",NULL,NULL,NULL,NULL,NULL,"201569"
"162","Eric Paschall","F",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1629672"
"163","Eugene Omoruyi","F",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1630647"
"164","Evan Fournier","G","F","UFA",NULL,NULL,NULL,NULL,NULL,"203095"
"165","Evan Mobley","C",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1630596"
"166","Facundo Campazzo","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1630267"
"167","Feron Hunt","F",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1630624"
"168","Frank Jackson","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1628402"
"169","Frank Ntilikina","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1628373"
"170","Franz Wagner","F",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1630532"
"171","Fred VanVleet","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1627832"
"172","Furkan Korkmaz","G","F","UFA",NULL,NULL,NULL,NULL,NULL,"1627788"
"173","Gabe Vincent","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1629216"
"174","Gabe York","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1628221"
"175","Gabriel Lundberg","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1630994"
"176","Gabriele Procida","G","F","UFA",NULL,NULL,NULL,NULL,NULL,"1630629"
"177","Garrett Temple","G","F","UFA",NULL,NULL,NULL,NULL,NULL,"202066"
"178","Garrison Mathews","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1629726"
"179","Gary Clark","F",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1629109"
"180","Gary Harris","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"203914"
"181","Gary Payton II","G",NULL,"UFA",NULL,NULL,NULL,NULL,NULL,"1627780"
"182","Gary Trent Jr.","G","F","UFA",NULL,NULL,NULL,NULL,NULL,"1629018"
